"sepal_len","sepal_wid","petal_len","petal_wid","class","a","b","c","class_REC"
5.1,3.5,1.4,0.2,"Iris-setosa",6.1,7.1,8.1,0
4.9,3,1.4,0.2,"Iris-setosa",5.9,6.9,7.9,0
4.7,3.2,1.3,0.2,"Iris-setosa",5.7,6.7,7.7,0
4.6,3.1,1.5,0.2,"Iris-setosa",5.6,6.6,7.6,0
5,3.6,1.4,0.2,"Iris-setosa",6,7,8,0
5.4,3.9,1.7,0.4,"Iris-setosa",6.4,7.4,8.4,0
4.6,3.4,1.4,0.3,"Iris-setosa",5.6,6.6,7.6,0
5,3.4,1.5,0.2,"Iris-setosa",6,7,8,0
4.4,2.9,1.4,0.2,"Iris-setosa",5.4,6.4,7.4,0
4.9,3.1,1.5,0.1,"Iris-setosa",5.9,6.9,7.9,0
5.4,3.7,1.5,0.2,"Iris-setosa",6.4,7.4,8.4,0
4.8,3.4,1.6,0.2,"Iris-setosa",5.8,6.8,7.8,0
4.8,3,1.4,0.1,"Iris-setosa",5.8,6.8,7.8,0
4.3,3,1.1,0.1,"Iris-setosa",5.3,6.3,7.3,0
5.8,4,1.2,0.2,"Iris-setosa",6.8,7.8,8.8,0
5.7,4.4,1.5,0.4,"Iris-setosa",6.7,7.7,8.7,0
5.4,3.9,1.3,0.4,"Iris-setosa",6.4,7.4,8.4,0
5.1,3.5,1.4,0.3,"Iris-setosa",6.1,7.1,8.1,0
5.7,3.8,1.7,0.3,"Iris-setosa",6.7,7.7,8.7,0
5.1,3.8,1.5,0.3,"Iris-setosa",6.1,7.1,8.1,0
5.4,3.4,1.7,0.2,"Iris-setosa",6.4,7.4,8.4,0
5.1,3.7,1.5,0.4,"Iris-setosa",6.1,7.1,8.1,0
4.6,3.6,1,0.2,"Iris-setosa",5.6,6.6,7.6,0
5.1,3.3,1.7,0.5,"Iris-setosa",6.1,7.1,8.1,0
4.8,3.4,1.9,0.2,"Iris-setosa",5.8,6.8,7.8,0
5,3,1.6,0.2,"Iris-setosa",6,7,8,0
5,3.4,1.6,0.4,"Iris-setosa",6,7,8,0
5.2,3.5,1.5,0.2,"Iris-setosa",6.2,7.2,8.2,0
5.2,3.4,1.4,0.2,"Iris-setosa",6.2,7.2,8.2,0
4.7,3.2,1.6,0.2,"Iris-setosa",5.7,6.7,7.7,0
4.8,3.1,1.6,0.2,"Iris-setosa",5.8,6.8,7.8,0
5.4,3.4,1.5,0.4,"Iris-setosa",6.4,7.4,8.4,0
5.2,4.1,1.5,0.1,"Iris-setosa",6.2,7.2,8.2,0
5.5,4.2,1.4,0.2,"Iris-setosa",6.5,7.5,8.5,0
4.9,3.1,1.5,0.1,"Iris-setosa",5.9,6.9,7.9,0
5,3.2,1.2,0.2,"Iris-setosa",6,7,8,0
5.5,3.5,1.3,0.2,"Iris-setosa",6.5,7.5,8.5,0
4.9,3.1,1.5,0.1,"Iris-setosa",5.9,6.9,7.9,0
4.4,3,1.3,0.2,"Iris-setosa",5.4,6.4,7.4,0
5.1,3.4,1.5,0.2,"Iris-setosa",6.1,7.1,8.1,0
5,3.5,1.3,0.3,"Iris-setosa",6,7,8,0
4.5,2.3,1.3,0.3,"Iris-setosa",5.5,6.5,7.5,0
4.4,3.2,1.3,0.2,"Iris-setosa",5.4,6.4,7.4,0
5,3.5,1.6,0.6,"Iris-setosa",6,7,8,0
5.1,3.8,1.9,0.4,"Iris-setosa",6.1,7.1,8.1,0
4.8,3,1.4,0.3,"Iris-setosa",5.8,6.8,7.8,0
5.1,3.8,1.6,0.2,"Iris-setosa",6.1,7.1,8.1,0
4.6,3.2,1.4,0.2,"Iris-setosa",5.6,6.6,7.6,0
5.3,3.7,1.5,0.2,"Iris-setosa",6.3,7.3,8.3,0
5,3.3,1.4,0.2,"Iris-setosa",6,7,8,0
7,3.2,4.7,1.4,"Iris-versicolor",8,9,10,1
6.4,3.2,4.5,1.5,"Iris-versicolor",7.4,8.4,9.4,1
6.9,3.1,4.9,1.5,"Iris-versicolor",7.9,8.9,9.9,1
5.5,2.3,4,1.3,"Iris-versicolor",6.5,7.5,8.5,1
6.5,2.8,4.6,1.5,"Iris-versicolor",7.5,8.5,9.5,1
5.7,2.8,4.5,1.3,"Iris-versicolor",6.7,7.7,8.7,1
6.3,3.3,4.7,1.6,"Iris-versicolor",7.3,8.3,9.3,1
4.9,2.4,3.3,1,"Iris-versicolor",5.9,6.9,7.9,1
6.6,2.9,4.6,1.3,"Iris-versicolor",7.6,8.6,9.6,1
5.2,2.7,3.9,1.4,"Iris-versicolor",6.2,7.2,8.2,1
5,2,3.5,1,"Iris-versicolor",6,7,8,1
5.9,3,4.2,1.5,"Iris-versicolor",6.9,7.9,8.9,1
6,2.2,4,1,"Iris-versicolor",7,8,9,1
6.1,2.9,4.7,1.4,"Iris-versicolor",7.1,8.1,9.1,1
5.6,2.9,3.6,1.3,"Iris-versicolor",6.6,7.6,8.6,1
6.7,3.1,4.4,1.4,"Iris-versicolor",7.7,8.7,9.7,1
5.6,3,4.5,1.5,"Iris-versicolor",6.6,7.6,8.6,1
5.8,2.7,4.1,1,"Iris-versicolor",6.8,7.8,8.8,1
6.2,2.2,4.5,1.5,"Iris-versicolor",7.2,8.2,9.2,1
5.6,2.5,3.9,1.1,"Iris-versicolor",6.6,7.6,8.6,1
5.9,3.2,4.8,1.8,"Iris-versicolor",6.9,7.9,8.9,1
6.1,2.8,4,1.3,"Iris-versicolor",7.1,8.1,9.1,1
6.3,2.5,4.9,1.5,"Iris-versicolor",7.3,8.3,9.3,1
6.1,2.8,4.7,1.2,"Iris-versicolor",7.1,8.1,9.1,1
6.4,2.9,4.3,1.3,"Iris-versicolor",7.4,8.4,9.4,1
6.6,3,4.4,1.4,"Iris-versicolor",7.6,8.6,9.6,1
6.8,2.8,4.8,1.4,"Iris-versicolor",7.8,8.8,9.8,1
6.7,3,5,1.7,"Iris-versicolor",7.7,8.7,9.7,1
6,2.9,4.5,1.5,"Iris-versicolor",7,8,9,1
5.7,2.6,3.5,1,"Iris-versicolor",6.7,7.7,8.7,1
5.5,2.4,3.8,1.1,"Iris-versicolor",6.5,7.5,8.5,1
5.5,2.4,3.7,1,"Iris-versicolor",6.5,7.5,8.5,1
5.8,2.7,3.9,1.2,"Iris-versicolor",6.8,7.8,8.8,1
6,2.7,5.1,1.6,"Iris-versicolor",7,8,9,1
5.4,3,4.5,1.5,"Iris-versicolor",6.4,7.4,8.4,1
6,3.4,4.5,1.6,"Iris-versicolor",7,8,9,1
6.7,3.1,4.7,1.5,"Iris-versicolor",7.7,8.7,9.7,1
6.3,2.3,4.4,1.3,"Iris-versicolor",7.3,8.3,9.3,1
5.6,3,4.1,1.3,"Iris-versicolor",6.6,7.6,8.6,1
5.5,2.5,4,1.3,"Iris-versicolor",6.5,7.5,8.5,1
5.5,2.6,4.4,1.2,"Iris-versicolor",6.5,7.5,8.5,1
6.1,3,4.6,1.4,"Iris-versicolor",7.1,8.1,9.1,1
5.8,2.6,4,1.2,"Iris-versicolor",6.8,7.8,8.8,1
5,2.3,3.3,1,"Iris-versicolor",6,7,8,1
5.6,2.7,4.2,1.3,"Iris-versicolor",6.6,7.6,8.6,1
5.7,3,4.2,1.2,"Iris-versicolor",6.7,7.7,8.7,1
5.7,2.9,4.2,1.3,"Iris-versicolor",6.7,7.7,8.7,1
6.2,2.9,4.3,1.3,"Iris-versicolor",7.2,8.2,9.2,1
5.1,2.5,3,1.1,"Iris-versicolor",6.1,7.1,8.1,1
5.7,2.8,4.1,1.3,"Iris-versicolor",6.7,7.7,8.7,1
6.3,3.3,6,2.5,"Iris-virginica",7.3,8.3,9.3,0
5.8,2.7,5.1,1.9,"Iris-virginica",6.8,7.8,8.8,0
